"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Привязка ИИН","tests","Fri Oct 17 09:55:51 UTC 2025","skipped","Fri Oct 17 09:55:51 UTC 2025","TestAccount","Account","",""
"","0","Позитивный сценарий аккредитации","tests","Fri Oct 17 09:55:51 UTC 2025","skipped","Fri Oct 17 09:55:51 UTC 2025","TestArm","ARM","",""
"Проверяем дает ли система авторизоваться с помощью ЭЦП","0","Авторизация с помощью ЭЦП","tests","Fri Oct 17 09:58:54 UTC 2025","skipped","Fri Oct 17 09:58:54 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"Тест проверяет, что пользователь может войти с правильными учетными данными.","30008","Проверка авторизации с валидными данными","tests","Fri Oct 17 09:55:52 UTC 2025","failed","Fri Oct 17 09:56:22 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"Тест проверяет, что пользователь может зарегестрироваться с правильными учетными данными.","134846","Проверка регистрации с валидными данными","tests","Fri Oct 17 09:58:54 UTC 2025","broken","Fri Oct 17 10:01:09 UTC 2025","TestRegistration","Astanahub - Регистрация","",""
"","0","Подача заявки на Дубликат аккредитации ФЛ","tests","Fri Oct 17 10:01:09 UTC 2025","skipped","Fri Oct 17 10:01:09 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию","30007","Проверка авторизации с несуществующей почтой","tests","Fri Oct 17 09:57:54 UTC 2025","failed","Fri Oct 17 09:58:24 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
"","0","Подача заявки на Переоформление аккредитации ФЛ","tests","Fri Oct 17 10:01:09 UTC 2025","skipped","Fri Oct 17 10:01:09 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"","0","Подача заявки на Регистрацию участника (БП)","tests","Fri Oct 17 10:01:09 UTC 2025","skipped","Fri Oct 17 10:01:09 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"","0","Подача заявки на Переоформление аккредитации ЮЛ","tests","Fri Oct 17 10:01:09 UTC 2025","skipped","Fri Oct 17 10:01:09 UTC 2025","TestServiceRequest","Astanahub - Подача заявок","",""
"Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию","30006","Проверка авторизации с несуществующей почтой","tests","Fri Oct 17 09:56:53 UTC 2025","failed","Fri Oct 17 09:57:23 UTC 2025","Smoke тесты","Astanahub - Авторизация","",""
