"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 13 18:13:35 UTC 2025","Mon Oct 13 18:13:35 UTC 2025","1","tests","Astanahub - Подача заявок","TestServiceRequest","","","Подача заявки на Дубликат аккредитации ФЛ",""
"skipped","Mon Oct 13 18:13:35 UTC 2025","Mon Oct 13 18:13:35 UTC 2025","0","tests","Astanahub - Подача заявок","TestServiceRequest","","","Подача заявки на Переоформление аккредитации ФЛ",""
"failed","Mon Oct 13 18:09:47 UTC 2025","Mon Oct 13 18:10:17 UTC 2025","30004","tests","Astanahub - Авторизация","Smoke тесты","","","Проверка авторизации с валидными данными","Тест проверяет, что пользователь может войти с правильными учетными данными."
"skipped","Mon Oct 13 18:09:47 UTC 2025","Mon Oct 13 18:09:47 UTC 2025","0","tests","ARM","TestArm","","","Позитивный сценарий аккредитации",""
"skipped","Mon Oct 13 18:09:47 UTC 2025","Mon Oct 13 18:09:47 UTC 2025","0","tests","Account","TestAccount","","","Привязка ИИН",""
"skipped","Mon Oct 13 18:13:35 UTC 2025","Mon Oct 13 18:13:35 UTC 2025","0","tests","Astanahub - Подача заявок","TestServiceRequest","","","Подача заявки на Переоформление аккредитации ЮЛ",""
"skipped","Mon Oct 13 18:13:35 UTC 2025","Mon Oct 13 18:13:35 UTC 2025","0","tests","Astanahub - Подача заявок","TestServiceRequest","","","Подача заявки на Регистрацию участника (БП)",""
"failed","Mon Oct 13 18:10:18 UTC 2025","Mon Oct 13 18:10:48 UTC 2025","30003","tests","Astanahub - Авторизация","Smoke тесты","","","Проверка авторизации с несуществующей почтой","Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию"
"failed","Mon Oct 13 18:10:48 UTC 2025","Mon Oct 13 18:11:18 UTC 2025","30002","tests","Astanahub - Авторизация","Smoke тесты","","","Проверка авторизации с несуществующей почтой","Тест проверяет, что если нет почты в базе, она предложит пройти регистрацию"
"skipped","Mon Oct 13 18:11:19 UTC 2025","Mon Oct 13 18:11:19 UTC 2025","0","tests","Astanahub - Авторизация","Smoke тесты","","","Авторизация с помощью ЭЦП","Проверяем дает ли система авторизоваться с помощью ЭЦП"
"broken","Mon Oct 13 18:11:19 UTC 2025","Mon Oct 13 18:13:35 UTC 2025","135589","tests","Astanahub - Регистрация","TestRegistration","","","Проверка регистрации с валидными данными","Тест проверяет, что пользователь может зарегестрироваться с правильными учетными данными."
